inventory_id,date,store_id,product_id,current_stock,reorder_level
INV-20260508-S001-P001,2026-05-08,S001,P001,253,57.0
INV-20260508-S001-P002,2026-05-08,S001,P002,89,41.0
INV-20260508-S001-P003,2026-05-08,S001,P003,179,24.0
INV-20260508-S001-P004,2026-05-08,S001,P004,227,20.0
INV-20260508-S001-P005,2026-05-08,S001,P005,403,66.0
INV-20260508-S001-P006,2026-05-08,S001,P006,414,26.0
INV-20260508-S001-P007,2026-05-08,S001,P007,120,97.0
INV-20260508-S001-P008,2026-05-08,S001,P008,376,65.0
INV-20260508-S001-P009,2026-05-08,S001,P009,102,43.0
INV-20260508-S001-P010,2026-05-08,S001,P010,323,66.0
INV-20260508-S001-P011,2026-05-08,S001,P011,366,12.0
INV-20260508-S001-P012,2026-05-08,S001,P012,369,101.0
INV-20260508-S001-P013,2026-05-08,S001,P013,141,56.0
INV-20260508-S001-P014,2026-05-08,S001,P014,374,84.0
INV-20260508-S001-P015,2026-05-08,S001,P015,116,18.0
INV-20260508-S001-P016,2026-05-08,S001,P016,244,56.0
INV-20260508-S001-P017,2026-05-08,S001,P017,228,56.0
INV-20260508-S001-P018,2026-05-08,S001,P018,178,99.0
INV-20260508-S001-P019,2026-05-08,S001,P019,76,64.0
INV-20260508-S001-P020,2026-05-08,S001,P020,327,55.0
INV-20260508-S001-P021,2026-05-08,S001,P021,191,35.0
INV-20260508-S001-P022,2026-05-08,S001,P022,297,41.0
INV-20260508-S001-P023,2026-05-08,S001,P023,209,59.0
INV-20260508-S001-P024,2026-05-08,S001,P024,201,51.0
INV-20260508-S001-P025,2026-05-08,S001,P025,381,12.0
INV-20260508-S001-P026,2026-05-08,S001,P026,95,88.0
INV-20260508-S001-P027,2026-05-08,S001,P027,311,95.0
INV-20260508-S001-P028,2026-05-08,S001,P028,328,23.0
INV-20260508-S001-P029,2026-05-08,S001,P029,200,62.0
INV-20260508-S001-P030,2026-05-08,S001,P030,166,20.0
INV-20260508-S001-P031,2026-05-08,S001,P031,365,74.0
INV-20260508-S001-P032,2026-05-08,S001,P032,394,37.0
INV-20260508-S001-P033,2026-05-08,S001,P033,388,72.0
INV-20260508-S001-P034,2026-05-08,S001,P034,148,79.0
INV-20260508-S001-P035,2026-05-08,S001,P035,402,83.0
INV-20260508-S001-P036,2026-05-08,S001,P036,117,20.0
INV-20260508-S001-P037,2026-05-08,S001,P037,475,97.0
INV-20260508-S001-P038,2026-05-08,S001,P038,360,32.0
INV-20260508-S001-P039,2026-05-08,S001,P039,382,14.0
INV-20260508-S001-P040,2026-05-08,S001,P040,124,62.0
INV-20260508-S001-P041,2026-05-08,S001,P041,324,45.0
INV-20260508-S001-P042,2026-05-08,S001,P042,126,88.0
INV-20260508-S001-P043,2026-05-08,S001,P043,190,86.0
INV-20260508-S001-P044,2026-05-08,S001,P044,273,40.0
INV-20260508-S001-P045,2026-05-08,S001,P045,317,100.0
INV-20260508-S001-P046,2026-05-08,S001,P046,373,37.0
INV-20260508-S001-P047,2026-05-08,S001,P047,83,59.0
INV-20260508-S001-P048,2026-05-08,S001,P048,144,34.0
INV-20260508-S001-P049,2026-05-08,S001,P049,164,98.0
INV-20260508-S001-P050,2026-05-08,S001,P050,181,26.0
INV-20260508-S002-P001,2026-05-08,S002,P001,413,57.0
INV-20260508-S002-P002,2026-05-08,S002,P002,338,41.0
INV-20260508-S002-P003,2026-05-08,S002,P003,186,24.0
INV-20260508-S002-P004,2026-05-08,S002,P004,410,20.0
INV-20260508-S002-P005,2026-05-08,S002,P005,237,66.0
INV-20260508-S002-P006,2026-05-08,S002,P006,247,26.0
INV-20260508-S002-P007,2026-05-08,S002,P007,227,97.0
INV-20260508-S002-P008,2026-05-08,S002,P008,115,65.0
INV-20260508-S002-P009,2026-05-08,S002,P009,387,43.0
INV-20260508-S002-P010,2026-05-08,S002,P010,67,66.0
INV-20260508-S002-P011,2026-05-08,S002,P011,136,12.0
INV-20260508-S002-P012,2026-05-08,S002,P012,146,101.0
INV-20260508-S002-P013,2026-05-08,S002,P013,159,56.0
INV-20260508-S002-P014,2026-05-08,S002,P014,113,84.0
INV-20260508-S002-P015,2026-05-08,S002,P015,85,18.0
INV-20260508-S002-P016,2026-05-08,S002,P016,294,56.0
INV-20260508-S002-P017,2026-05-08,S002,P017,401,56.0
INV-20260508-S002-P018,2026-05-08,S002,P018,101,99.0
INV-20260508-S002-P019,2026-05-08,S002,P019,169,64.0
INV-20260508-S002-P020,2026-05-08,S002,P020,236,55.0
INV-20260508-S002-P021,2026-05-08,S002,P021,387,35.0
INV-20260508-S002-P022,2026-05-08,S002,P022,310,41.0
INV-20260508-S002-P023,2026-05-08,S002,P023,334,59.0
INV-20260508-S002-P024,2026-05-08,S002,P024,268,51.0
INV-20260508-S002-P025,2026-05-08,S002,P025,219,12.0
INV-20260508-S002-P026,2026-05-08,S002,P026,132,88.0
INV-20260508-S002-P027,2026-05-08,S002,P027,354,95.0
INV-20260508-S002-P028,2026-05-08,S002,P028,347,23.0
INV-20260508-S002-P029,2026-05-08,S002,P029,72,62.0
INV-20260508-S002-P030,2026-05-08,S002,P030,321,20.0
INV-20260508-S002-P031,2026-05-08,S002,P031,97,74.0
INV-20260508-S002-P032,2026-05-08,S002,P032,323,37.0
INV-20260508-S002-P033,2026-05-08,S002,P033,349,72.0
INV-20260508-S002-P034,2026-05-08,S002,P034,114,79.0
INV-20260508-S002-P035,2026-05-08,S002,P035,213,83.0
INV-20260508-S002-P036,2026-05-08,S002,P036,117,20.0
INV-20260508-S002-P037,2026-05-08,S002,P037,248,97.0
INV-20260508-S002-P038,2026-05-08,S002,P038,387,32.0
INV-20260508-S002-P039,2026-05-08,S002,P039,105,14.0
INV-20260508-S002-P040,2026-05-08,S002,P040,203,62.0
INV-20260508-S002-P041,2026-05-08,S002,P041,397,45.0
INV-20260508-S002-P042,2026-05-08,S002,P042,167,88.0
INV-20260508-S002-P043,2026-05-08,S002,P043,99,86.0
INV-20260508-S002-P044,2026-05-08,S002,P044,244,40.0
INV-20260508-S002-P045,2026-05-08,S002,P045,235,100.0
INV-20260508-S002-P046,2026-05-08,S002,P046,302,37.0
INV-20260508-S002-P047,2026-05-08,S002,P047,179,59.0
INV-20260508-S002-P048,2026-05-08,S002,P048,402,34.0
INV-20260508-S002-P049,2026-05-08,S002,P049,245,98.0
INV-20260508-S002-P050,2026-05-08,S002,P050,177,26.0
INV-20260508-S003-P001,2026-05-08,S003,P001,398,57.0
INV-20260508-S003-P002,2026-05-08,S003,P002,389,41.0
INV-20260508-S003-P003,2026-05-08,S003,P003,247,24.0
INV-20260508-S003-P004,2026-05-08,S003,P004,88,20.0
INV-20260508-S003-P005,2026-05-08,S003,P005,279,66.0
INV-20260508-S003-P006,2026-05-08,S003,P006,268,26.0
INV-20260508-S003-P007,2026-05-08,S003,P007,123,97.0
INV-20260508-S003-P008,2026-05-08,S003,P008,291,65.0
INV-20260508-S003-P009,2026-05-08,S003,P009,357,43.0
INV-20260508-S003-P010,2026-05-08,S003,P010,107,66.0
INV-20260508-S003-P011,2026-05-08,S003,P011,325,12.0
INV-20260508-S003-P012,2026-05-08,S003,P012,116,101.0
INV-20260508-S003-P013,2026-05-08,S003,P013,326,56.0
INV-20260508-S003-P014,2026-05-08,S003,P014,210,84.0
INV-20260508-S003-P015,2026-05-08,S003,P015,80,18.0
INV-20260508-S003-P016,2026-05-08,S003,P016,403,56.0
INV-20260508-S003-P017,2026-05-08,S003,P017,131,56.0
INV-20260508-S003-P018,2026-05-08,S003,P018,273,99.0
INV-20260508-S003-P019,2026-05-08,S003,P019,132,64.0
INV-20260508-S003-P020,2026-05-08,S003,P020,390,55.0
INV-20260508-S003-P021,2026-05-08,S003,P021,326,35.0
INV-20260508-S003-P022,2026-05-08,S003,P022,344,41.0
INV-20260508-S003-P023,2026-05-08,S003,P023,220,59.0
INV-20260508-S003-P024,2026-05-08,S003,P024,227,51.0
INV-20260508-S003-P025,2026-05-08,S003,P025,295,12.0
INV-20260508-S003-P026,2026-05-08,S003,P026,337,88.0
INV-20260508-S003-P027,2026-05-08,S003,P027,360,95.0
INV-20260508-S003-P028,2026-05-08,S003,P028,83,23.0
INV-20260508-S003-P029,2026-05-08,S003,P029,299,62.0
INV-20260508-S003-P030,2026-05-08,S003,P030,115,20.0
INV-20260508-S003-P031,2026-05-08,S003,P031,164,74.0
INV-20260508-S003-P032,2026-05-08,S003,P032,359,37.0
INV-20260508-S003-P033,2026-05-08,S003,P033,155,72.0
INV-20260508-S003-P034,2026-05-08,S003,P034,340,79.0
INV-20260508-S003-P035,2026-05-08,S003,P035,228,83.0
INV-20260508-S003-P036,2026-05-08,S003,P036,155,20.0
INV-20260508-S003-P037,2026-05-08,S003,P037,181,97.0
INV-20260508-S003-P038,2026-05-08,S003,P038,255,32.0
INV-20260508-S003-P039,2026-05-08,S003,P039,338,14.0
INV-20260508-S003-P040,2026-05-08,S003,P040,279,62.0
INV-20260508-S003-P041,2026-05-08,S003,P041,395,45.0
INV-20260508-S003-P042,2026-05-08,S003,P042,366,88.0
INV-20260508-S003-P043,2026-05-08,S003,P043,326,86.0
INV-20260508-S003-P044,2026-05-08,S003,P044,279,40.0
INV-20260508-S003-P045,2026-05-08,S003,P045,160,100.0
INV-20260508-S003-P046,2026-05-08,S003,P046,217,37.0
INV-20260508-S003-P047,2026-05-08,S003,P047,114,59.0
INV-20260508-S003-P048,2026-05-08,S003,P048,204,34.0
INV-20260508-S003-P049,2026-05-08,S003,P049,388,98.0
INV-20260509-S001-P001,2026-05-09,S001,P001,239,57.0
INV-20260509-S001-P002,2026-05-09,S001,P002,76,41.0
INV-20260509-S001-P003,2026-05-09,S001,P003,174,24.0
INV-20260509-S001-P004,2026-05-09,S001,P004,226,20.0
INV-20260509-S001-P005,2026-05-09,S001,P005,391,66.0
INV-20260509-S001-P006,2026-05-09,S001,P006,412,26.0
INV-20260509-S001-P007,2026-05-09,S001,P007,108,97.0
INV-20260509-S001-P008,2026-05-09,S001,P008,361,65.0
INV-20260509-S001-P009,2026-05-09,S001,P009,97,43.0
INV-20260509-S001-P010,2026-05-09,S001,P010,307,66.0
INV-20260509-S001-P011,2026-05-09,S001,P011,362,12.0
INV-20260509-S001-P012,2026-05-09,S001,P012,351,101.0
INV-20260509-S001-P013,2026-05-09,S001,P013,130,56.0
INV-20260509-S001-P014,2026-05-09,S001,P014,360,84.0
INV-20260509-S001-P015,2026-05-09,S001,P015,110,18.0
INV-20260509-S001-P016,2026-05-09,S001,P016,234,56.0
INV-20260509-S001-P017,2026-05-09,S001,P017,221,56.0
INV-20260509-S001-P018,2026-05-09,S001,P018,158,99.0
INV-20260509-S001-P019,2026-05-09,S001,P019,69,64.0
INV-20260509-S001-P020,2026-05-09,S001,P020,317,55.0
INV-20260509-S001-P021,2026-05-09,S001,P021,181,35.0
