sale_id,date,store_id,product_id,units_sold,revenue
SALE-20260508-S001-P001,2026-05-08,S001,P001,8,6310.88
SALE-20260508-S001-P002,2026-05-08,S001,P002,6,3894.9
SALE-20260508-S001-P003,2026-05-08,S001,P003,2,2141.74
SALE-20260508-S001-P004,2026-05-08,S001,P004,0,0.0
SALE-20260508-S001-P005,2026-05-08,S001,P005,6,2645.4
SALE-20260508-S001-P006,2026-05-08,S001,P006,3,2513.97
SALE-20260508-S001-P007,2026-05-08,S001,P007,11,2827.22
SALE-20260508-S001-P008,2026-05-08,S001,P008,7,6189.05
SALE-20260508-S001-P009,2026-05-08,S001,P009,8,6049.52
SALE-20260508-S001-P010,2026-05-08,S001,P010,11,10853.7
SALE-20260508-S001-P011,2026-05-08,S001,P011,1,218.9
SALE-20260508-S001-P012,2026-05-08,S001,P012,13,2454.79
SALE-20260508-S001-P013,2026-05-08,S001,P013,14,12108.32
SALE-20260508-S001-P014,2026-05-08,S001,P014,9,3545.19
SALE-20260508-S001-P015,2026-05-08,S001,P015,3,585.36
SALE-20260508-S001-P016,2026-05-08,S001,P016,12,3170.04
SALE-20260508-S001-P017,2026-05-08,S001,P017,11,5538.39
SALE-20260508-S001-P018,2026-05-08,S001,P018,9,3309.3
SALE-20260508-S001-P019,2026-05-08,S001,P019,11,8890.97
SALE-20260508-S001-P020,2026-05-08,S001,P020,15,9661.65
SALE-20260508-S001-P021,2026-05-08,S001,P021,3,592.41
SALE-20260508-S001-P022,2026-05-08,S001,P022,7,5099.78
SALE-20260508-S001-P023,2026-05-08,S001,P023,10,7997.0
SALE-20260508-S001-P024,2026-05-08,S001,P024,6,896.4
SALE-20260508-S001-P025,2026-05-08,S001,P025,0,0.0
SALE-20260508-S001-P026,2026-05-08,S001,P026,17,13937.96
SALE-20260508-S001-P027,2026-05-08,S001,P027,19,11198.22
SALE-20260508-S001-P028,2026-05-08,S001,P028,5,278.35
SALE-20260508-S001-P029,2026-05-08,S001,P029,9,2116.17
SALE-20260508-S001-P030,2026-05-08,S001,P030,3,691.98
SALE-20260508-S001-P031,2026-05-08,S001,P031,12,3497.04
SALE-20260508-S001-P032,2026-05-08,S001,P032,4,2506.4
SALE-20260508-S001-P033,2026-05-08,S001,P033,14,9448.74
SALE-20260508-S001-P034,2026-05-08,S001,P034,13,2202.07
SALE-20260508-S001-P035,2026-05-08,S001,P035,20,2451.6
SALE-20260508-S001-P036,2026-05-08,S001,P036,4,749.56
SALE-20260508-S001-P037,2026-05-08,S001,P037,15,2810.25
SALE-20260508-S001-P038,2026-05-08,S001,P038,2,773.66
SALE-20260508-S001-P039,2026-05-08,S001,P039,1,634.1
SALE-20260508-S001-P040,2026-05-08,S001,P040,8,1288.4
SALE-20260508-S001-P041,2026-05-08,S001,P041,9,8859.51
SALE-20260508-S001-P042,2026-05-08,S001,P042,14,14958.86
SALE-20260508-S001-P043,2026-05-08,S001,P043,14,10283.84
SALE-20260508-S001-P044,2026-05-08,S001,P044,10,1349.5
SALE-20260508-S001-P045,2026-05-08,S001,P045,7,3119.55
SALE-20260508-S001-P046,2026-05-08,S001,P046,4,2223.72
SALE-20260508-S001-P047,2026-05-08,S001,P047,12,11315.88
SALE-20260508-S001-P048,2026-05-08,S001,P048,2,947.56
SALE-20260508-S001-P049,2026-05-08,S001,P049,11,6981.26
SALE-20260508-S001-P050,2026-05-08,S001,P050,4,1561.52
SALE-20260508-S002-P001,2026-05-08,S002,P001,6,4733.16
SALE-20260508-S002-P002,2026-05-08,S002,P002,6,3894.9
SALE-20260508-S002-P003,2026-05-08,S002,P003,2,2141.74
